,A,B
0, E C E E H H,96
0, E C E E H E,0
0, E C E E E C,3123
0, E C E E E H,97
0, E C E E E E,10662
0, E H C C C C,550
0, E H C C C H,16
0, E H C C C E,63
0, E H C C H C,2
0, E H C C H H,62
0, E H C C H E,0
0, E H C C E C,1
0, E H C C E H,0
0, E H C C E E,5
0, E H C H C C,105
0, E H C H C H,2
0, E H C H C E,11
0, E H C H H C,10
0, E H C H H H,42
0, E H C H H E,0
0, E H C H E C,0
0, E H C H E H,0
0, E H C H E E,0
0, E H C E C C,0
0, E H C E C H,0
0, E H C E C E,0
0, E H C E H C,0
0, E H C E H H,0
0, E H C E H E,0
0, E H C E E C,0
0, E H C E E H,0
0, E H C E E E,3
0, E H H C C C,747
0, E H H C C H,16
0, E H H C C E,72
0, E H H C H C,4
0, E H H C H H,82
0, E H H C H E,0
0, E H H C E C,15
0, E H H C E H,0
0, E H H C E E,6
0, E H H H C C,5441
0, E H H H C H,247
0, E H H H C E,316
0, E H H H H C,4121
0, E H H H H H,18649
0, E H H H H E,75
0, E H H H E C,29
0, E H H H E H,1
0, E H H H E E,288
0, E H H E C C,1
0, E H H E C H,0
0, E H H E C E,0
0, E H H E H C,0
0, E H H E H H,8
0, E H H E H E,1
0, E H H E E C,5
0, E H H E E H,1
0, E H H E E E,6
0, E H E C C C,15
0, E H E C C H,1
0, E H E C C E,2
0, E H E C H C,0
0, E H E C H H,3
0, E H E C H E,0
0, E H E C E C,2
0, E H E C E H,0
0, E H E C E E,0
0, E H E H C C,7
0, E H E H C H,0
0, E H E H C E,0
0, E H E H H C,3
0, E H E H H H,9
0, E H E H H E,0
0, E H E H E C,0
0, E H E H E H,0
0, E H E H E E,2
0, E H E E C C,24
0, E H E E C H,0
0, E H E E C E,2
0, E H E E H C,2
0, E H E E H H,5
0, E H E E H E,1
0, E H E E E C,5
0, E H E E E H,2
0, E H E E E E,15
0, E E C C C C,502926
0, E E C C C H,55993
0, E E C C C E,34836
0, E E C C H C,2596
0, E E C C H H,67342
0, E E C C H E,49
0, E E C C E C,2532
0, E E C C E H,96
0, E E C C E E,59239
0, E E C H C C,1252
0, E E C H C H,285
0, E E C H C E,3
0, E E C H H C,2075
0, E E C H H H,50276
0, E E C H H E,45
0, E E C H E C,0
0, E E C H E H,0
0, E E C H E E,11
0, E E C E C C,2830
0, E E C E C H,148
0, E E C E C E,281
0, E E C E H C,3
0, E E C E H H,256
0, E E C E H E,3
0, E E C E E C,2478
0, E E C E E H,94
0, E E C E E E,9123
0, E E H C C C,521
0, E E H C C H,61
0, E E H C C E,4
0, E E H C H C,114
0, E E H C H H,34
0, E E H C H E,0
0, E E H C E C,0
0, E E H C E H,0
0, E E H C E E,1
0, E E H H C C,739
0, E E H H C H,82
0, E E H H C E,11
0, E E H H H C,5441
0, E E H H H H,19492
0, E E H H H E,308
0, E E H H E C,0
0, E E H H E H,1
0, E E H H E E,8
0, E E H E C C,4
0, E E H E C H,0
0, E E H E C E,1
0, E E H E H C,7
0, E E H E H H,9
0, E E H E H E,1
0, E E H E E C,7
0, E E H E E H,4
0, E E H E E E,8
0, E E E C C C,534032
0, E E E C C H,63209
0, E E E C C E,57405
0, E E E C H C,1448
0, E E E C H H,45450
0, E E E C H E,10
0, E E E C E C,2602
0, E E E C E H,136
0, E E E C E E,9771
0, E E E H C C,467
0, E E E H C H,138
0, E E E H C E,0
0, E E E H H C,718
0, E E E H H H,22094
0, E E E H H E,5
0, E E E H E C,3
0, E E E H E H,12
0, E E E H E E,15
0, E E E E C C,564481
0, E E E E C H,39197
0, E E E E C E,9931
0, E E E E H C,574
0, E E E E H H,18563
0, E E E E H E,21
0, E E E E E C,450979
0, E E E E E H,14891
0, E E E E E E,301955
0, C C C C C C C,687211
0, C C C C C C H,344560
0, C C C C C C E,277861
0, C C C C C H C,14461
0, C C C C C H H,429141
0, C C C C C H E,407
0, C C C C C E C,35114
0, C C C C C E H,2204
0, C C C C C E E,373494
0, C C C C H C C,15111
0, C C C C H C H,2613
0, C C C C H C E,375
0, C C C C H H C,16463
0, C C C C H H H,527981
0, C C C C H H E,431
0, C C C C H E C,46
0, C C C C H E H,19
0, C C C C H E E,465
0, C C C C E C C,33564
0, C C C C E C H,4579
0, C C C C E C E,3964
0, C C C C E H C,75
0, C C C C E H H,2743
0, C C C C E H E,20
0, C C C C E E C,48351
0, C C C C E E H,1774
0, C C C C E E E,482924
0, C C C H C C C,16129
0, C C C H C C H,1635
0, C C C H C C E,945
0, C C C H C H C,1395
0, C C C H C H H,1996
0, C C C H C H E,99
0, C C C H C E C,40
0, C C C H C E H,1
0, C C C H C E E,404
0, C C C H H C C,17959
0, C C C H H C H,1254
0, C C C H H C E,1130
0, C C C H H H C,59337
0, C C C H H H H,579972
0, C C C H H H E,6874
0, C C C H H E C,54
0, C C C H H E H,28
0, C C C H H E E,438
0, C C C H E C C,37
0, C C C H E C H,2
0, C C C H E C E,14
0, C C C H E H C,3
0, C C C H E H H,27
0, C C C H E H E,0
0, C C C H E E C,83
0, C C C H E E H,3
0, C C C H E E E,534
0, C C C E C C C,31536
0, C C C E C C H,4786
0, C C C E C C E,2996
0, C C C E C H C,96
0, C C C E C H H,4888
0, C C C E C H E,0
0, C C C E C E C,610
0, C C C E C E H,62
0, C C C E C E E,4095
0, C C C E H C C,83
0, C C C E H C H,14
0, C C C E H C E,2
0, C C C E H H C,68
0, C C C E H H H,3248
0, C C C E H H E,3
0, C C C E H E C,9
0, C C C E H E H,3
0, C C C E H E E,14
0, C C C E E C C,52024
0, C C C E E C H,5522
0, C C C E E C E,2118
0, C C C E E H C,110
0, C C C E E H H,1915
0, C C C E E H E,9
0, C C C E E E C,79284
0, C C C E E E H,4025
0, C C C E E E E,519813
0, C C H C C C C,15919
0, C C H C C C H,1675
0, C C H C C C E,1326
0, C C H C C H C,102
0, C C H C C H H,1878
0, C C H C C H E,1
0, C C H C C E C,133
0, C C H C C E H,5
0, C C H C C E E,941
0, C C H C H C C,1586
0, C C H C H C H,96
0, C C H C H C E,214
0, C C H C H H C,310
0, C C H C H H H,2153
0, C C H C H H E,12
0, C C H C H E C,4
0, C C H C H E H,0
0, C C H C H E E,183
0, C C H C E C C,59
0, C C H C E C H,2
0, C C H C E C E,3
0, C C H C E H C,0
0, C C H C E H H,1
0, C C H C E H E,0
0, C C H C E E C,57
0, C C H C E E H,0
0, C C H C E E E,400
0, C C H H C C C,18995
0, C C H H C C H,1673
0, C C H H C C E,1290
0, C C H H C H C,144
0, C C H H C H H,1464
0, C C H H C H E,1
0, C C H H C E C,217
0, C C H H C E H,1
0, C C H H C E E,1105
0, C C H H H C C,64865
0, C C H H H C H,4795
0, C C H H H C E,4684
0, C C H H H H C,40894
0, C C H H H H H,646492
0, C C H H H H E,997
0, C C H H H E C,647
0, C C H H H E H,6
0, C C H H H E E,7229
0, C C H H E C C,57
0, C C H H E C H,0
0, C C H H E C E,2
0, C C H H E H C,1
0, C C H H E H H,18
0, C C H H E H E,12
0, C C H H E E C,92
0, C C H H E E H,3
0, C C H H E E E,396
0, C C H E C C C,34
0, C C H E C C H,3
0, C C H E C C E,1
0, C C H E C H C,0
0, C C H E C H H,2
0, C C H E C H E,0
0, C C H E C E C,8
0, C C H E C E H,0
0, C C H E C E E,7
0, C C H E H C C,3
0, C C H E H C H,0
0, C C H E H C E,0
0, C C H E H H C,1
0, C C H E H H H,24
0, C C H E H H E,8
0, C C H E H E C,0
0, C C H E H E H,0
0, C C H E H E E,0
0, C C H E E C C,84
0, C C H E E C H,3
0, C C H E E C E,0
0, C C H E E H C,0
0, C C H E E H H,3
0, C C H E E H E,0
0, C C H E E E C,149
0, C C H E E E H,1
0, C C H E E E E,453
0, C C E C C C C,31323
0, C C E C C C H,2458
0, C C E C C C E,1818
0, C C E C C H C,144
0, C C E C C H H,5044
0, C C E C C H E,0
0, C C E C C E C,309
0, C C E C C E H,29
0, C C E C C E E,3055
